text,food_name,opinion,,,Source,Link
ปูอบวุ้นเส้น (500฿) -- มีเฉพาะปูไซส์นี้ในวันที่ไปค่ะ ตอนพนักงานยกมาเสิร์ฟ ก็แอบกรี๊ดกร๊าดกับตัวเองเบาๆ ว่าน่ากินมากๆๆๆ วุ้นเส้นสีอ่อนๆ แต่รสชาติกลมกล่อมกำลังดีมากๆ ไม่ต้องราดน้ำจิ้มอะไรเพิ่มเลยค่ะ ปูนี่ก็สมราคามากๆ ตัวใหญ่ ก้ามใหญ่ เนื้อแน่น สด หวาน อร่อยค่ะ อร่อยมากๆ,ปูอบวุ้นเส้น,pos,,,อบอร่อย,https://www.wongnai.com/restaurants/obaroi-tit?_st=cD0zO2I9MzQ3NTthZD1mYWxzZTt0PTE1MjMyNDE1NzA2MTA7aT04MjdkNmE5ZC1hZmExLTRhYTgtOWFjOS0yM2NjMGVmNzU0Yjc7d3JlZj1zcjs%3D
หอยเชลล์เผาอบเนย (140฿) -- เป็นเมนูโปรดประจำตัวค่ะ ร้านไหนมีต้องขอสั่ง ของร้านนี้ได้เป็นหอยเชลล์ตัวอวบๆ มา 8 ตัว หอยเชลล์สด เนื้อเด้ง อบมาหอมเนย หอมกระเทียม ราดน้ำจิ้มซีฟู้ดซักหน่อย อร่อยเด็ดมากๆ,หอยเชลล์อบเนย,pos,,,,
ยอดมะระหวานผัดน้ำมันหอย (65฿) -- จานนี้แอบเสียดายค่ะ เพราะยอดมะระได้ส่วนที่แข็งเยอะไปหน่อย แต่รสชาติผัดผักก็กลมกล่อมกำลังดี,ผัดยอดมะระหวาน,pos,,,,
ข้าวผัดปู (จานเล็ก 90฿) -- ข้าวผัดปูมีปูแทรกเยอะมากๆ คุ้มราคามากมายค่ะ แต่ติดตรงที่ข้าวผัดมาแฉะเกินไปนิดหน่อยและรสหวานนำไปนิดค่ะ,ข้าวผัดปู,neg,,,,
ส้มตำมั่ว (฿70.-) เมนูนี้เป็นของคุณแม่ครับผมไม่ทานเผ็ด ก็เห็นบอกว่าอร่อยดี ถือว่าน่าจะรสชาติใช้ได้เลยแหละครับ,ส้มตำมั่ว,pos,,,,
หอยนางรมสด (฿140.-) ตัวหอยเองก็ดูสดใช้ได้ดีเลยหล่ะครับ แต่ตัวไม่ค่อยอลังมากนัก มีซอสมาให้จิ้มเยอะดีครับ,หอยนางรม,pos,,,,
หอยเชลล์เผาอบเนย (฿140.-) เป็นเมนูปราบเซียนของผมเลย ซึ่งร้านนี้ก็ไม่ได้ว้าวขนาดนั้น หอยเชลล์เผามาแห้งเกินไป เนื้อแตกเลยครับ แบบนี้ไม่โอเคเลย,หอยเชลล์อบเนย,neg,,,,
ข้าวผัดปูใหญ่ (฿180.-) อันนี้รสชาติอร่อยกลมกล่อมอยู่ครับ แต่เปลือกปูเยอะไปหน่อย ทานไปต้องระวังเปลือกปูไป ถ้าแกะดีๆนี่ถือว่าเป็นอีกเมนูที่อร่อยมากเลย,ข้าวผัดปู,pos,,,,
หอยแครงลวก (฿190.-) หอยแครงสีส้มสดใส เสิร์ฟมาพร้อมกับน้ำจิ้ม รสชาติก็ทั่วๆไปครับ วัตถุดิบคุณภาพก็ค่อนข้างดีครับ,หอยแครงลวก,pos,,,,
กุ้งอบวุ้นเส้น (฿260.-) ได้กุ้งตัวใหญ่มาสามตัว กุ้งเนื้อแน่นเด้งมากเลยครับ วุ้นเส้นก็ให้มาเยอะระดับนึง โดยรวมรสชาติก็ใช้ได้เลย เป็นอีกเมนูที่ค่อนข้างถูกใจ,กุ้งอบวุ้นเส้น,pos,,,,
พุดดิ้งมะพร้าวน้ำหอม (฿45.-) ปิดท้ายด้วยของหวาน ถึงหน้าตาจะไม่ได้สวยหรู แต่ก็อร่อยใช้ได้เลยครับ มีรสชาติของมะพร้าวบางๆ ไม่หวานจนเกินไป,พุดดิ้งมะพร้าวน้ำหอม,pos,,,,
น้ำส้มคั้น (฿55.-) จากที่ชมน่าจะเป็นน้ำส้มแท้เลยครับ มีเนื้อส้มมาให้นิดๆหน่อยๆ รสชาติมันหวานไปหน่อย แต่ก็อร่อยถูกปากเลยทีเดียว,น้ำส้มคั้น,pos,,,,
กุ้งอบวุ้นเว้น ถ้ามาร้านนี้ห้ามพลาดเมนูอบวุ้นเส้น ชอบกินกุ้งมากกว่าเพราะไม่ชอบแกะปู กุ้งทะเลตัวใหญ่ กุ้งสดเนื้อแน่นหวาน แกะเปลือกง่าย ปรุงรสมากลมกล่อมกำลังดี แกะเนื้อกุ้งราดน้ำจิ้มซีฟู้ดกินกับวุ้นเส้นเหนียวนุ่ม อร่อย,กุ้งอบวุ้นเส้น,pos,,,,
โป๊ะแตก เมนูโปรดส่วนตัว รสเหมือนต้มยำน้ำใสแต่ใส่พริกแห้งและใบกะเพราเพิ่มลงไป น้ำฅุปจัดจ้านครบรส ใส่เครื่องทะเลเพียบ กุ้งแม่น้ำ ปลาเก๋า หอยแมงภู่ ปลาหมึก สั่งโป๊ะแตกหม้อเดียวได้กินอาหารทะเลครบทุกอย่างเลย,โป๊ะแตก,pos,,,,
